DVD,HHS,total,totalA,totalB
201233,2,60,0,0
201233,3,170,0,0
201233,4,455,8,14
201233,5,111,0,0
201233,6,348,1,0
201233,7,121,0,1
201233,8,192,2,1
201233,9,253,5,1
201233,10,121,2,0
201234,1,100,0,0
201234,2,85,0,0
201234,3,215,0,0
201234,4,436,12,9
201234,5,128,0,0
201234,6,372,1,4
201234,7,156,1,0
201234,8,204,0,0
201234,9,311,8,1
201234,10,147,0,0
201235,1,95,0,0
201235,2,69,0,0
201235,3,245,0,0
201235,4,511,8,11
201235,5,130,0,0
201235,6,355,1,0
201235,7,194,0,0
201235,8,216,1,0
201235,9,284,2,1
201235,10,132,0,0
201236,1,97,0,0
201236,2,92,0,0
201236,3,182,0,0
201236,4,645,8,22
201236,5,129,1,0
201236,6,417,0,1
201236,7,194,0,0
201236,8,231,0,0
201236,9,304,7,2
201236,10,128,0,0
201237,1,95,0,0
201237,2,96,0,0
201237,3,259,0,0
201237,4,676,9,25
201237,5,162,0,1
201237,6,504,0,3
201237,7,210,0,1
201237,8,311,0,2
201237,9,300,2,0
201237,10,169,0,0
201238,1,129,0,0
201238,2,110,0,0
201238,3,255,0,0
201238,4,740,9,28
201238,5,164,1,0
201238,6,545,4,5
201238,7,206,0,2
201238,8,384,2,1
201238,9,296,3,0
201238,10,143,0,0
201239,1,136,0,0
201239,2,123,0,0
201239,3,251,0,1
201239,4,755,12,37
201239,5,178,0,0
201239,6,524,2,0
201239,7,229,0,1
201239,8,423,0,1
201239,9,260,0,0
201239,10,191,1,1
201240,1,155,0,0
201240,2,387,0,1
201240,3,270,0,0
201240,4,863,6,30
201240,5,244,0,0
201240,6,563,4,8
201240,7,243,0,2
201240,8,444,2,0
201240,9,347,5,1
201240,10,206,1,1
201241,1,161,0,0
201241,2,396,2,2
201241,3,300,1,1
201241,4,940,21,39
201241,5,248,1,1
201241,6,641,2,6
201241,7,304,0,10
201241,8,564,1,2
201241,9,357,2,0
201241,10,201,1,0
201242,1,180,0,0
201242,2,433,5,0
201242,3,342,3,0
201242,4,1126,32,39
201242,5,262,1,1
201242,6,639,5,12
201242,7,338,1,16
201242,8,506,4,6
201242,9,341,2,0
201242,10,115,2,0
201243,1,187,0,0
201243,2,436,5,1
201243,3,272,1,0
201243,4,1133,35,43
201243,5,309,2,4
201243,6,571,5,3
201243,7,299,2,16
201243,8,530,1,6
201243,9,369,7,0
201243,10,186,1,0
201244,1,173,0,0
201244,2,317,4,1
201244,3,285,3,0
201244,4,1129,53,29
201244,5,266,1,3
201244,6,699,13,26
201244,7,278,0,5
201244,8,592,4,18
201244,9,422,5,0
201244,10,220,5,1
201245,1,162,0,0
201245,2,432,7,1
201245,3,337,1,0
201245,4,1262,78,50
201245,5,287,2,5
201245,6,909,28,26
201245,7,346,1,17
201245,8,694,6,23
201245,9,542,3,0
201245,10,238,4,0
201246,1,139,1,0
201246,2,469,18,2
